MapName,PrimaryState,MapScale,DateOnMap,ImprintYear,LinktoMetadata,EditYear,PhotoRevisionYear,NoWoodlandTint,VisualVersionNumber,AerialPhotoYear,FieldCheckYear,PhotoInspectionYear,SurveyYear,Datum,Projection,Advance,Preliminary,Provisional,Interim,Planimetric,SpecialPrinting,SpecialMap,ShadedRelief,Orthophoto,PubUsgs,PubArmyCorpEng,PubArmyMap,PubWarDept,PubMilitaryOther,PubForestServ,PubReclamation,PubBurLandMgmt,PubNatlParkServ,PubIndianAffairs,PubEpa,PubTennValleyAuth,PubUscommerce,Keywords,MapLanguage,DownloadGeoPDF
Dudley Ridge,CA,24000,1954,1985,290072,,,N,,1950,1954,,1932,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512839&quad=Dudley Ridge&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dulzura,CA,24000,1972,1974,290077,,,N,,1971,1972,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512849&quad=Dulzura&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dulzura,CA,24000,1972,1974,302956,,,Y,1,1971,1972,,,NAD27,Lambert Conformal Conic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512851&quad=Dulzura&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dulzura,CA,24000,1972,1984,302957,1982,1982,N,1,1980,1972,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512853&quad=Dulzura&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dulzura,CA,24000,1972,1988,290075,1988,1988,N,,1985,1972,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512845&quad=Dulzura&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dulzura,CA,24000,1997,2000,290076,1997,,N,,1994,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512847&quad=Dulzura&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dumont Dunes,CA,24000,1983,1983,290082,1983,,N,,1978,1979,,,NAD27,Universal Transverse Mercator,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512857&quad=Dumont Dunes&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dumont Dunes,CA,24000,1983,1985,290081,1983,,N,,1978,1979,,,NAD27,Universal Transverse Mercator,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512855&quad=Dumont Dunes&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1954,290084,,,N,,1948,1952,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512861&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1963,290085,,,N,,1948,1952,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512863&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1963,302958,,,Y,,1948,,,1952,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512871&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1976,290086,1973,1973,N,,1973,1952,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512865&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1976,302959,,1973,Y,1,1973,,,1952,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512873&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1980,302960,1979,1979,N,1,1976,1952,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512875&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1980,290087,1979,1979,N,,1976,1952,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512867&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,1952,1982,290088,1979,1979,N,,1976,1952,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512869&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,24000,2000,2003,290083,2000,,N,,1998,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512859&quad=Duncan Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncan Peak,CA,62500,1952,1958,297352,,,N,,1948,,,1952,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501527&quad=Duncan Peak&state=CA&grid=15X15&series=Map GeoPDF
Duncan Peak,CA,62500,1952,1965,297351,,,N,,1948,,,1952,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501525&quad=Duncan Peak&state=CA&grid=15X15&series=Map GeoPDF
Duncans Mills,CA,31680,1945,,296063,,,N,,,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5499257&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncans Mills,CA,31680,1945,,296064,,,Y,,,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5499259&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncans Mills,CA,24000,1943,1956,290089,,,N,,,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512877&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncans Mills,CA,24000,1943,1964,290090,,,N,,,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512879&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncans Mills,CA,24000,1952,1980,302961,1979,1979,Y,1,1976,1952,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512885&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncans Mills,CA,24000,1979,1979,290092,1979,,N,,1971,1972,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512883&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Duncans Mills,CA,24000,1979,1983,290091,1979,,N,,1971,1972,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512881&quad=Duncans Mills&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunderberg Peak,CA,24000,1990,1990,290093,1990,,N,,1985,1986,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512889&quad=Dunderberg Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunderberg Peak,CA,24000,1994,1997,101305,,,N,,1993,1994,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512887&quad=Dunderberg Peak&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunlap,CA,62500,1942,1962,297354,,,N,,,,,1942,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501529&quad=Dunlap&state=CA&grid=15X15&series=Map GeoPDF
Dunlap,CA,62500,1942,1967,297355,,,N,,,,,1942,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501531&quad=Dunlap&state=CA&grid=15X15&series=Map GeoPDF
Dunlap,CA,62500,1944,,297356,,,N,,,,,1942,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501533&quad=Dunlap&state=CA&grid=15X15&series=Map GeoPDF
Dunlap,CA,62500,1944,,297357,,,Y,1,,,,1942,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501535&quad=Dunlap&state=CA&grid=15X15&series=Map GeoPDF
Dunn,CA,24000,1986,1986,290095,1986,,N,,1983,1984,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512901&quad=Dunn&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunn,CA,24000,1996,1999,101306,,,N,,1983,1984,1996,,NAD27,Transverse Mercator,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512899&quad=Dunn&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunnigan,CA,24000,1953,1954,290097,,,N,,1949,,,1953,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512891&quad=Dunnigan&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunnigan,CA,24000,1953,1968,290098,,,N,,1949,,,1953,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512893&quad=Dunnigan&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunnigan,CA,24000,1953,1968,302962,,,Y,1,1949,1953,,,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512897&quad=Dunnigan&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunnigan,CA,24000,1953,1975,290099,,1973,N,,1973,,,1953,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512895&quad=Dunnigan&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunnigan,CA,62500,1907,1916,297359,,,N,,,,,1905,Unstated,Unstated,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501539&quad=Dunningan&state=CA&grid=15X15&series=Map GeoPDF
Dunnigan,CA,62500,1907,1948,297361,,,N,,,,,1905,NAD,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501543&quad=Dunningan&state=CA&grid=15X15&series=Map GeoPDF
Dunnigan,CA,62500,1907,,297358,,,N,,,,,1905,Unstated,Unstated,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501537&quad=Dunningan&state=CA&grid=15X15&series=Map GeoPDF
Dunnigan,CA,62500,1941,,297360,,,N,,1939,,,1905,NAD,Polyconic,Y,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501541&quad=Dunningan&state=CA&grid=15X15&series=Map GeoPDF
Dunnigan,CA,62500,1953,1959,297363,,,N,,1949,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501547&quad=Dunningan&state=CA&grid=15X15&series=Map GeoPDF
Dunnigan,CA,62500,1953,1966,297362,,,N,,1949,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501545&quad=Dunningan&state=CA&grid=15X15&series=Map GeoPDF
Dunsmuir,CA,125000,1935,1935,299340,,,N,,,,,1931,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5505787&quad=Dunsmuir&state=CA&grid=30X30&series=Map GeoPDF
Dunsmuir,CA,125000,1935,1943,299341,,,N,,,,,1931,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5505789&quad=Dunsmuir&state=CA&grid=30X30&series=Map GeoPDF
Dunsmuir,CA,125000,1935,1948,299342,,,N,,,,,1931,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5505791&quad=Dunsmuir&state=CA&grid=30X30&series=Map GeoPDF
Dunsmuir,CA,24000,1986,1986,290101,1986,,N,,1983,1983,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512903&quad=Dunsmuir&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunsmuir,CA,24000,1998,2003,290102,1998,,N,,1997,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512905&quad=Dunsmuir&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dunsmuir,CA,62500,1954,1957,297366,,,N,,1951,1954,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501553&quad=Dunsmuir&state=CA&grid=15X15&series=Map GeoPDF
Dunsmuir,CA,62500,1954,1960,297365,,,N,,1951,1954,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501551&quad=Dunsmuir&state=CA&grid=15X15&series=Map GeoPDF
Dunsmuir,CA,62500,1954,1970,297364,,,N,,1951,1954,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501549&quad=Dunsmuir&state=CA&grid=15X15&series=Map GeoPDF
Dunsmuir,CA,62500,1954,1979,297367,,,N,,1951,1954,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501555&quad=Dunsmuir&state=CA&grid=15X15&series=Map GeoPDF
Durham,CA,31680,1912,,297368,,,N,,,,,1910,Unstated,Unstated,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5499261&quad=Chico&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,50000,2002,2004,296651,,,N,,,,,,NAD83,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5630975&quad=Durmid&state=CA&grid=15X15&series=Map GeoPDF
Durmid,CA,24000,1956,1957,290107,,,N,,1953,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512927&quad=Durmid&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,24000,1956,1963,290106,,,N,,1956,,,1938,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512925&quad=Durmid&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,24000,1956,1979,290108,,,N,,1953,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512929&quad=Durmid&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,24000,1978,1987,290103,,,N,,1978,,1978,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512919&quad=Durmid&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,24000,1992,1995,290104,1995,,N,,1992,,,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512921&quad=Durmid&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,24000,1998,2002,290105,,,N,,1998,,,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512923&quad=Durmid&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid,CA,62500,1940,1964,297369,,,N,,1940,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501557&quad=Durmid&state=CA&grid=15X15&series=Map GeoPDF
Durmid,CA,62500,1944,1944,297370,,,N,,1940,,,1942,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501559&quad=Durmid&state=CA&grid=15X15&series=Map GeoPDF
Durmid,CA,62500,1957,1957,297371,,,N,,1940,,,1942,NAD27,Polyconic,N,N,N,N,N,N,N,N,,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5501561&quad=Durmid&state=CA&grid=15X15&series=Map GeoPDF
Durmid SE,CA,24000,1956,1957,290112,,,N,,1953,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512913&quad=Durmid SE&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid SE,CA,24000,1956,1959,290113,,,N,,1953,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512915&quad=Durmid SE&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid SE,CA,24000,1956,1959,302963,,,Y,,1953,,,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512917&quad=Durmid SE&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid SE,CA,24000,1956,1992,290109,1992,,N,,1953,,1991,1956,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512907&quad=Durmid SE&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid SE,CA,24000,1992,1995,290110,1995,,N,,1992,,,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512909&quad=Durmid SE&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durmid SE,CA,24000,1998,2003,290111,,,N,,1998,,1998,,NAD27,Universal Transverse Mercator,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512911&quad=Durmid SE&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durrwood Creek,CA,24000,1987,1987,290114,1987,,N,,1983,1984,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512931&quad=Durrwood Creek&state=CA&grid=7.5X7.5&series=Map GeoPDF
Durrwood Creek,CA,24000,1987,1994,290115,1994,,N,,1983,1984,,,NAD27,Lambert Conformal Conic,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512933&quad=Durrwood Creek&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Creek,CA,24000,1980,1980,290117,1980,,N,,1972,1974,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512937&quad=Dutch Creek&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Creek,CA,24000,1980,1980,302964,1980,,Y,1,1972,1974,,,NAD27,Lambert Conformal Conic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512939&quad=Dutch Creek&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Creek,CA,24000,1998,2001,290116,1998,,N,,1993,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512935&quad=Dutch Creek&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1957,290119,,,N,,1946,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512943&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1971,290120,,,N,,1946,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512945&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1971,302966,,,Y,1,1946,1950,,,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512957&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1971,302965,,,Y,,1946,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512955&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1976,290122,,1973,N,,1973,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512949&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1980,290123,1979,1979,N,1,1976,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512951&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1980,290124,1979,1979,N,,1976,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512953&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1950,1980,302967,1979,1979,Y,1,1976,1950,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512959&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,1951,,290121,,,N,,1946,1950,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512947&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
Dutch Flat,CA,24000,2000,2003,302968,,,N,1,1998,,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5512961&quad=Dutch Flat&state=CA&grid=7.5X7.5&series=Map GeoPDF
